,species,model,structure,c44_fcc,miller_indices,surface_energy_110_fcc,model_type,model_base_type,c44_fcc_avg,surface_energy_110_fcc_avg
49,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Ag__MO_505250810900_000,fcc,50.52943067830332,"[1, 0, 0]",0.06102904584103695,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
50,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Ag__MO_505250810900_000,fcc,50.52943067830332,"[1, 2, 1]",0.06537549022176717,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
51,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Ag__MO_505250810900_000,fcc,50.52943067830332,"[1, 1, 0]",0.06758911558491378,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
52,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_Ag__MO_303974873468_001,fcc,54.25861241142204,"[1, 1, 1]",0.03412968276066805,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
53,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_Ag__MO_303974873468_001,fcc,54.25861241142204,"[1, 0, 0]",0.038328726465001954,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
54,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_Ag__MO_303974873468_001,fcc,54.25861241142204,"[1, 2, 1]",0.03993738974804535,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
55,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_Ag__MO_303974873468_001,fcc,54.25861241142204,"[1, 1, 0]",0.04150183020201915,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
56,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_AlAgAuCuNiPdPt__MO_115316750986_001,fcc,54.25861241142204,"[1, 1, 1]",0.03412968276066805,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
57,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_AlAgAuCuNiPdPt__MO_115316750986_001,fcc,54.25861241142204,"[1, 0, 0]",0.038328726465001954,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
58,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_AlAgAuCuNiPdPt__MO_115316750986_001,fcc,54.25861241142204,"[1, 2, 1]",0.03993738974804535,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
59,Ag,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_AlAgAuCuNiPdPt__MO_115316750986_001,fcc,54.25861241142204,"[1, 1, 0]",0.04150183020201915,"['EMT', 'Asap', 'Standard']",EMT,92.12472709142287,0.09613893800034115
60,Ag,LJ_ElliottAkerson_2015_Universal__MO_959249795837_003,fcc,905.8795032160187,"[1, 1, 1]",0.6813718474925027,['LJ'],LJ,92.12472709142287,0.09613893800034115
61,Ag,LJ_ElliottAkerson_2015_Universal__MO_959249795837_003,fcc,905.8795032160187,"[1, 0, 0]",0.7070545957099539,['LJ'],LJ,92.12472709142287,0.09613893800034115
62,Ag,LJ_ElliottAkerson_2015_Universal__MO_959249795837_003,fcc,905.8795032160187,"[1, 2, 1]",0.7450887233614524,['LJ'],LJ,92.12472709142287,0.09613893800034115
63,Ag,LJ_ElliottAkerson_2015_Universal__MO_959249795837_003,fcc,905.8795032160187,"[1, 1, 0]",0.7455282260295111,['LJ'],LJ,92.12472709142287,0.09613893800034115
64,Ag,Sim_LAMMPS_MEAM_GaoOterodelaRozaAouadi_2013_AgTaO__SM_485325656366_000,fcc,46.16227647803357,"[1, 1, 1]",0.060491421062111174,"['Sim', 'LAMMPS', 'MEAM']",Sim,92.12472709142287,0.09613893800034115
